input1,input2,input3,input4,input5,input6,input7,input8,input9,input10,input11,input12,input13,input14,input15,input16,input17,input18,input19,input20,input21,input22,output1,output2,output3,output4,output5,output6,output7,output8,output9,output10,output11,output12,output13,output14,output15,output16,output17
241786.55,9.032791,3.273353,-2.71246,1.814999,2.756956,-32.918383,-13.047324,22.440569,-7.578102,160005.82,66.710075,390.91138,596.62261,85.650263,607.96201,152.31315,225.52915,779.30107,7.211947,1,1,241769.61,241792.71,241769.61,241769.61,2184262.8,7087136400000.000000,158882.69,15628566000.000000,-38608235000,2642589700.000000,-5.12436E+16,-7.17891E+53,-11.55417,58460736000.000000,241798.07,-16.703739,-16.824508
257539.97,25.59282,-3.972436,3.49912,-20.24203,0.179344,-25.889649,-12.871668,-51.97269,-11.930681,356527.8,302.28536,114.1462,103.15568,307.79635,471.8667,70.589139,61.998953,-23.198526,831.00519,1,1,257442.36,257433.43,257442.36,257442.36,6592110,68726093000000.000000,11297757.000000,88149742000.000000,486230150000.000000,-5.14757E+11,47160740999999995904.000000,9378033700000000491760023704387986792848830357509052121932667477928797311447734554825240353189472583087600080769474191269633007742927213227684243443167998433649510496202022354950508478552410130459332394555637361325825321051963729145141385836649260119534852032503636086004538041032489423657544857140703789056.000000,-92.197024,66326837000.000000,257489.04,-97.342539,-97.471197
479181.62,8.20019,-3.259693,-5.233032,24.525345,-3.656866,38.948341,-15.9428,37.548382,-9.89265,294693.78,109.13747,483.30505,151.4364,57.754024,575.14761,22.576517,440.46817,304.52461,432.69268,1,1,479252.85,479305.9,479252.85,479252.85,3928315.5,-1.38655E+15,-2263646.2,-1.05913E+11,187025270000.000000,62303707000.000000,4176072800000000000.000000,38434614999999999518984016852963395368709387190272.000000,76.917717,229615020000.000000,479191.91,72.155755,72.117548
120161.43,14.021083,-2.83418,-5.893929,-17.70991,3.107309,14.919646,-6.877525,32.851915,-3.206235,226847.32,102.86216,134.66516,120.18946,151.7774,600.93494,-42.740666,471.24428,123.73503,805.26141,1,1,120189.81,120187.51,120189.81,120189.81,1684547.1,-1.67389E+13,-522070.98,450229470.000000,-13127411000,13050988000.000000,367301230000000000.000000,17115540000000000965591147282438647926912031591000699567306632997009912320357715043905599943609065406464.000000,33.457938,14438770000.000000,120188.7,28.435933,28.392054
112558.14,3.957034,4.417158,2.041059,-9.066357,-3.893595,-14.81795,-2.264416,-66.604968,-3.051152,328415.07,113.57999,331.56297,388.67852,15.033659,46.884341,185.16267,36.509873,550.16167,516.18608,1,1,112468.85,112475.27,112468.85,112468.85,445677.41,966592860000.000000,20476291.000000,-344094280,367880140.000000,297967440.000000,1196503700000000.000000,7358091399999999977768091648.000000,-84.23181,12669334000.000000,112494.92,-89.232506,-89.271778
284552.9,19.803255,-1.086347,-3.559346,-11.265545,-1.932625,36.891126,6.221324,-17.008391,2.677152,203801.59,355.3298,175.25043,411.59263,-4.422859,555.71625,108.40179,99.422095,251.88694,887.9275,1,1,284583.64,284537.23,284583.64,284583.64,5635283.2,-4.95769E+12,-963071.66,-4021975000,-1522284200,1455021200.000000,31703525000000000.000000,46239776999999997755049097565466749472710461976903082604505274682132833724418597348472672772175177420970202075288368967374870882384257995232817850291333254915015747527958797841822908416.000000,36.194766,80970355000.000000,284561.25,31.064512,30.924949
58819.378,-0.719182,6.288177,0.097676,-26.050142,0.826858,-46.815271,1.583713,-17.423003,-6.145639,285792.77,228.97201,126.18067,382.54295,288.09174,230.02497,37.288495,386.54734,687.07932,478.57887,1,1,58731.021,58739.734,58731.021,58731.021,-42289.804,-4442922900,-13901538000,-781887.82,-719600.71,-2257179.3,58646172000.000000,715566259999999996203106304.000000,-83.587292,3459719100.000000,58801.99,-88.342972,-88.355184
186065.6,16.177603,5.476068,-3.054083,-27.745149,3.058605,-11.694969,-15.539099,67.647231,10.797579,163722.73,-7.632818,482.1306,58.844046,134.48341,91.316452,122.18372,434.38027,680.81751,436.57632,1,1,186110.72,186087.84,186110.72,186110.72,3010905.9,567076410000000.000000,882064.79,-18297310000,219974820000.000000,185054560000.000000,-9.316E+18,-5.7425E+141,50.393451,34620406000.000000,186146.24,45.262278,45.175325
374789.51,2.81093,3.895997,-0.961082,26.912664,-0.542973,-27.132008,-9.463134,-55.589937,16.051622,169110.88,165.08602,277.89998,471.86459,262.88915,504.2389,99.322586,39.543169,636.68463,381.98629,1,1,374745.49,374729.7,374745.49,374745.49,1052853.4,-1.32064E+13,-266010040,-15313570000,25375521000.000000,11590808000.000000,-4.57226E+16,-4.02499E+24,-38.444133,140467180000.000000,374747.67,-43.456004,-43.596702
351152.3,-2.487273,2.56716,-5.653519,-2.730319,2.76009,39.971104,-5.371321,35.241943,-12.273687,176000.77,261.56666,165.89481,-79.357252,302.96482,460.29639,65.409064,460.82711,550.1486,184.17772,1,1,351204.32,351250.38,351204.32,351204.32,-874080.94,-8.87134E+12,-1355021,-3349422700,8349424300.000000,-7049712200,-8.93639E+16,-7.75744E+20,57.569674,123307940000.000000,351162.35,52.517453,52.370622
57495.599,4.912588,3.084982,2.994969,-28.331028,4.589092,-17.068354,2.321518,-52.902565,0.164673,259018.65,129.97211,313.96429,194.13963,133.88845,117.42095,162.26219,551.30421,454.72521,647.64491,1,1,57415.365,57385.399,57415.365,57415.365,282283.06,-1.17123E+11,-175790350,2902497.8,359694.33,-76818.789,-2.00474E+11,-3.59101E+23,-75.474491,3305743800.000000,57455.9,-80.220901,-80.232605
436791.89,13.982881,-1.557298,-5.433221,-26.521824,2.38709,-38.521251,-14.849452,-42.361177,14.038029,198775.05,515.13209,571.70873,411.39749,274.75603,298.40131,59.795057,513.22519,288.87699,239.86578,1,1,436693.05,436672.8,436693.05,436693.05,6107531.5,1112903100000000.000000,778714.94,225210080000.000000,-2.39574E+11,222586360000.000000,11502672000000000000.000000,2247898000000000235252013142082127778977608575694279947319950927371334974600302392648614448003807182848.000000,-93.195948,190787160000.000000,436754.68,-98.073009,-98.169463
255075.48,8.088021,-3.749096,-2.668834,-19.891904,2.045173,-38.790043,4.468439,-18.31381,15.271471,369588.56,485.74132,661.4791,364.43216,21.162403,164.86798,131.50507,218.21176,279.83924,153.89901,1,1,255021.94,254967.53,255021.94,255021.94,2062572.3,-4.071E+13,-4485800.4,-17579963000,9027024200.000000,-4698017300,-9.69781E+16,-3.44591E+48,-48.133914,65063500000.000000,255077.72,-53.280307,-53.407797
355357.07,9.804281,3.663297,4.222337,12.814229,5.812545,22.975794,-11.859439,-66.921387,-11.290282,357841.88,204.49298,656.5653,378.47019,205.71668,604.95502,22.176216,385.0649,835.56963,-41.601237,1,1,355326.3,355332.92,355326.3,355326.3,3484593.8,-8.2636E+14,-796088.01,-44751565000,87960076000.000000,58405045000.000000,3147430500000000000.000000,915368119999999937518406505761084057962798360099399025041604608.000000,-25.227959,126278650000.000000,355285.28,-30.273467,-30.419586
293170.08,5.573118,-0.782946,0.059542,26.023567,2.075642,25.884028,2.315743,1.127814,-13.471059,348481.19,41.395777,460.46745,549.93993,58.914234,621.35884,55.121482,509.79898,586.71295,560.26298,1,1,293218.88,293225.77,293218.88,293218.88,1633970.3,3746721500.000000,8115664.9,1244906.5,-687949.04,-736560.07,56102055000.000000,167716959999999992659968.000000,54.272569,85948693000.000000,293165.92,49.149273,49.007055
136673.9,9.973516,4.469664,1.899966,9.438797,0.980236,8.112532,3.620605,-29.724517,-2.666567,374151.91,133.88657,3.94023,348.68973,70.588559,84.731472,132.68817,157.87906,248.91619,673.87194,1,1,136680,136652.38,136680,136680,1363245.7,249348460000.000000,7753359.4,-37396098,-25069112,6630022.2,76748427000000.000000,290290150000000002682504831344772951029988918230389641288089600.000000,11.239917,18679754000.000000,136661.76,6.178957,6.124659
