,true_output1,true_output2,pred_output1,pred_output2
7562,177353.78,177357.78,185616.72356725138,185603.2415984406
7563,102554.66,102497.71,101609.11073062735,101593.25798154983
7564,411585.48,411600.56,424338.6673650791,424324.22552380926
7565,57822.861,57848.055,69504.72317269086,69485.06758232943
7566,350979.89,350999.88,339634.8082961464,339626.06835699774
7567,475577.36,475599.46,485093.7721111117,485078.81402222347
7568,448173.3,448126.57,455285.4115738498,455270.39508474537
7569,175981.97,175984.19,185616.72356725138,185603.2415984406
7570,342949.52,342915.44,339634.8082961464,339626.06835699774
7571,344150.54,344124.68,339634.8082961464,339626.06835699774
7572,38564.263,38592.855,42709.52807038839,42681.28406310685
7573,223957.27,223974.14,217929.90592885367,217921.5533399206
7574,435414.85,435381.67,424338.6673650791,424324.22552380926
7575,214301.04,214296.73,217929.90592885367,217921.5533399206
7576,349980.6,349964.06,339634.8082961464,339626.06835699774
7577,453602.55,453601.54,455285.4115738498,455270.39508474537
7578,119501.91,119461.27,130154.50997333344,130144.92600000014
7579,139680.94,139747.22,130154.50997333344,130144.92600000014
7580,153691.11,153688.73,156847.65178260874,156836.5041304347
7581,388905.94,388922.8,397781.09172413754,397780.57758620655
7582,195174.34,195148.11,185616.72356725138,185603.2415984406
7583,411852.15,411870.08,424338.6673650791,424324.22552380926
7584,414642.7,414584.77,424338.6673650791,424324.22552380926
7585,178656.46,178699.62,185616.72356725138,185603.2415984406
7586,381325.5,381341.44,369165.9787337051,369158.3872067035
7587,197793.26,197788.73,185616.72356725138,185603.2415984406
7588,417371.58,417396.05,424338.6673650791,424324.22552380926
7589,432384.09,432399.58,424338.6673650791,424324.22552380926
7590,492735.89,492690.81,485093.7721111117,485078.81402222347
7591,488429.43,488425.18,485093.7721111117,485078.81402222347
7592,314777.01,314711.91,307448.0030952381,307425.7603296702
7593,498158.44,498062.49,485093.7721111117,485078.81402222347
7594,48617.177,48575.245,42709.52807038839,42681.28406310685
7595,162969.95,162953.08,156847.65178260874,156836.5041304347
7596,232542.74,232520.58,217929.90592885367,217921.5533399206
7597,465300.88,465311.38,455285.4115738498,455270.39508474537
7598,324195.05,324166.57,339634.8082961464,339626.06835699774
7599,350798.17,350777.03,339634.8082961464,339626.06835699774
7600,270136.33,270095.73,274669.525366379,274663.15323275834
7601,45210.582,45154.594,42709.52807038839,42681.28406310685
7602,466194.41,466164.63,455285.4115738498,455270.39508474537
7603,459135.26,459120.58,455285.4115738498,455270.39508474537
7604,221186.68,221197.04,217929.90592885367,217921.5533399206
7605,487194.03,487160.33,485093.7721111117,485078.81402222347
7606,169950.11,169985.07,156847.65178260874,156836.5041304347
7607,408162.86,408211.11,397781.09172413754,397780.57758620655
7608,388381.04,388430.89,397781.09172413754,397780.57758620655
7609,492646.08,492610.5,485093.7721111117,485078.81402222347
7610,322912.24,322831.87,307448.0030952381,307425.7603296702
7611,313788.19,313780.68,307448.0030952381,307425.7603296702
7612,171525.91,171494.81,185616.72356725138,185603.2415984406
7613,485860.59,485854.71,485093.7721111117,485078.81402222347
7614,216985.11,216964.56,217929.90592885367,217921.5533399206
7615,69403.452,69390.654,69504.72317269086,69485.06758232943
7616,343525.84,343459.68,339634.8082961464,339626.06835699774
7617,138361.34,138295.31,130154.50997333344,130144.92600000014
7618,208630.5,208659.44,217929.90592885367,217921.5533399206
7619,155145.08,155146.7,156847.65178260874,156836.5041304347
7620,403586.47,403569.84,397781.09172413754,397780.57758620655
7621,356662.66,356646.68,369165.9787337051,369158.3872067035
7622,331835.2,331820.72,339634.8082961464,339626.06835699774
7623,325947.28,325985.58,339634.8082961464,339626.06835699774
7624,103879.25,103862.99,101609.11073062735,101593.25798154983
7625,320038.33,320040.15,307448.0030952381,307425.7603296702
7626,100096.6,100107.43,101609.11073062735,101593.25798154983
7627,300636.97,300610.33,307448.0030952381,307425.7603296702
7628,32986.745,32938.62,42709.52807038839,42681.28406310685
7629,220209.87,220175.27,217929.90592885367,217921.5533399206
7630,322967.09,322919.57,307448.0030952381,307425.7603296702
7631,362988.54,362976.77,369165.9787337051,369158.3872067035
7632,223187.09,223180.49,217929.90592885367,217921.5533399206
7633,308422.75,308388.36,307448.0030952381,307425.7603296702
7634,151135.71,151157.93,156847.65178260874,156836.5041304347
